#RPLIDAR SCAN DATA
#COUNT=1061
#Angule	Distance	Quality
357.5775 235.0 188
357.9016 235.0 188
358.2147 235.0 188
358.5443 235.0 188
358.8739 235.0 188
359.1870 235.0 188
359.5111 235.0 188
359.8407 235.0 188
0.1538 235.0 188
0.4834 235.0 188
0.7965 235.0 188
1.1206 235.0 188
1.4502 235.0 188
1.7633 235.0 188
2.0929 235.0 188
2.4170 235.0 188
2.7301 235.0 188
3.0597 235.0 188
3.3728 235.0 188
3.7628 233.0 188
4.1364 230.0 188
4.5758 227.0 188
4.8889 226.0 188
5.2185 226.0 188
5.5426 227.0 188
5.8557 227.0 188
6.1249 228.0 188
6.4490 228.0 188
6.7786 228.0 188
7.0917 228.0 188
7.4213 228.0 188
7.7454 229.0 188
8.0585 229.0 188
8.3881 229.0 188
8.7177 229.0 188
8.9813 230.0 188
9.2944 230.0 188
9.6240 230.0 188
9.9481 230.0 188
10.2612 231.0 188
10.5908 231.0 188
10.8545 232.0 188
11.1841 232.0 188
11.4972 233.0 188
11.8268 233.0 188
12.1509 234.0 188
12.4640 234.0 188
12.7936 234.0 188
13.1232 234.0 188
13.3868 235.0 188
13.7000 235.0 188
14.0295 236.0 188
14.3591 236.0 188
14.6228 237.0 188
14.9359 238.0 188
15.2655 238.0 188
15.5896 238.0 188
15.8588 239.0 188
16.1719 239.0 188
16.4960 240.0 188
16.8256 241.0 188
17.1387 241.0 188
17.4683 241.0 188
17.7319 242.0 188
18.0615 243.0 188
18.3746 243.0 188
18.6383 244.0 188
18.9679 245.0 188
19.2920 245.0 188
19.5612 246.0 188
19.8743 246.0 188
20.1984 247.0 188
20.5280 248.0 188
20.8411 248.0 188
21.1047 249.0 188
21.4343 250.0 188
21.6980 251.0 188
22.0276 251.0 188
22.3407 252.0 188
22.6703 253.0 188
22.9999 253.0 188
23.2635 254.0 188
23.5931 255.0 188
23.9062 256.0 188
24.2303 256.0 188
24.4995 257.0 188
24.8236 258.0 188
25.0928 259.0 188
25.4059 260.0 188
25.7300 261.0 188
25.9991 262.0 188
26.3232 263.0 188
26.6364 264.0 188
26.9659 264.0 188
27.2296 265.0 188
27.5592 267.0 188
27.8723 267.0 188
28.1360 268.0 188
28.4656 269.0 188
28.7952 270.0 188
29.0588 271.0 188
29.3719 272.0 188
29.7015 273.0 188
29.9652 275.0 188
30.2948 276.0 188
30.5585 277.0 188
31.2012 278.0 188
35.8429 271.0 188
36.2164 269.0 188
36.5900 267.0 188
36.9196 265.0 188
37.2931 263.0 188
37.6831 261.0 188
