timestamp,X,Y,Z
1622894457973,-0.688333,4.205415,8.698134
1622894457983,-0.742203,4.218584,8.696938
1622894457992,-0.810437,4.276044,8.626308
1622894458002,-0.837971,4.320337,8.571242
1622894458012,-0.828394,4.332308,8.555679
1622894458021,-0.857124,4.374207,8.522161
1622894458031,-0.907402,4.400543,8.552089
1622894458040,-0.869095,4.398149,8.601170
1622894458050,-0.848745,4.408922,8.617929
1622894458060,-0.909797,4.380192,8.671799
1622894458069,-0.895431,4.338294,8.730456
1622894458079,-0.899023,4.304775,8.808268
1622894458089,-0.998382,4.326323,8.840590
1622894458098,-1.091756,4.371812,8.828619
1622894458107,-1.094150,4.384980,8.797494
1622894458117,-1.035492,4.386178,8.694544
1622894458126,-0.974440,4.353856,8.631097
1622894458136,-0.921768,4.309563,8.669404
1622894458145,-0.944513,4.320337,8.753201
1622894458155,-1.023521,4.334702,8.819042
1622894458164,-1.033098,4.353856,8.932767
1622894458174,-1.042675,4.353856,9.038112
1622894458184,-1.001973,4.346673,9.153033
1622894458193,-0.972046,4.325125,9.166202
1622894458202,-0.900220,4.347870,9.097966
1622894458212,-0.961272,4.349067,9.030929
1622894458221,-1.309628,4.368221,8.980651
1622894458231,-1.527501,4.539406,8.966286
1622894458240,-1.449689,4.601655,8.968679
1622894458250,-1.383849,4.601655,8.911219
1622894458259,-1.284489,4.575319,8.872911
1622894458269,-1.118092,4.461595,8.882488
1622894458279,-1.037886,4.418499,8.838196
1622894458288,-1.383849,4.616021,8.635885
1622894458298,-1.066617,4.583699,8.711303
1622894458308,-0.792481,4.250905,8.299500
1622894458317,-0.658405,4.098873,8.019379
1622894458327,-0.995988,4.106056,8.453926
1622894458336,-0.836774,3.960010,8.705317
1622894458346,-0.458490,3.949236,8.750807
1622894458355,-0.453701,3.910928,8.586804
1622894458365,-0.527921,4.052186,8.341399
1622894458375,-0.488417,4.252102,8.109161
1622894458384,-0.561440,4.422091,7.854179
1622894458394,-0.612916,4.599261,7.663840
1622894458403,-0.629675,4.734534,7.597999
1622894458413,-0.681150,4.818331,7.702147
1622894458422,-0.706290,4.793192,8.019379
1622894458431,-0.732626,4.760870,8.360553
1622894458441,-0.821211,4.762067,8.541314
1622894458450,-0.906205,4.835090,8.669404
1622894458460,-0.875081,4.878186,8.769960
1622894458470,-0.914585,4.865018,8.772355
1622894458479,-0.914585,4.811148,8.876503
1622894458489,-0.785298,4.809951,9.078813
1622894458498,-0.683545,4.786009,9.148245
1622894458507,-0.478840,4.651934,9.107543
1622894458516,-0.202310,4.564546,9.052477
1622894458526,0.089783,4.521450,9.054871
1622894458535,0.172383,4.491522,8.911219
1622894458545,0.247800,4.404134,8.823831
1622894458555,0.353145,4.364630,8.769960
1622894458565,0.496797,4.285621,8.860941
1622894458574,0.633266,4.185065,8.959103
1622894458583,0.796072,4.175488,9.036914
1622894458592,0.804452,4.018668,8.868123
1622894458602,0.650026,4.095282,8.777143
1622894458612,0.539892,4.192247,8.767567
1622894458622,0.450110,4.188656,8.730456
1622894458631,0.208296,4.182671,9.284714
1622894458641,-0.999579,4.258088,8.580819
1622894458650,-0.990002,5.080496,7.952341
1622894458659,0.259771,4.938041,8.323442
1622894458668,-0.397437,4.538209,8.097190
1622894458677,0.094571,4.179079,8.175002
1622894458689,0.849942,3.960010,8.069656
1622894458706,0.809240,4.386178,8.560468
1622894458716,0.175974,4.656722,9.260772
1622894458726,-0.100556,4.539406,9.879673
1622894458735,0.082600,4.349067,10.105926
1622894458745,0.495600,4.479551,9.806650
1622894458755,-0.233435,4.244920,8.657434
1622894458764,0.177171,4.387374,8.358158
1622894458774,0.565032,4.663905,7.769185
1622894458783,0.456095,4.714183,7.307104
1622894458793,-0.526724,4.861426,6.795941
1622894458802,-1.380257,4.970363,7.064092
1622894458811,-0.537498,5.535394,8.188169
1622894458821,-0.092177,5.311536,8.402451
1622894458831,-0.308852,5.042189,8.066066
1622894458841,-0.951695,4.742914,7.507020
1622894458850,-0.972046,4.491522,7.329848
1622894458861,-0.547075,4.862624,7.478289
1622894458869,-0.082600,5.292383,7.688979
1622894458879,1.934515,6.258443,7.872135
1622894458888,2.695871,7.094019,8.397662
1622894458897,-0.493206,5.547365,8.016984
1622894458907,-0.926556,4.856638,7.975086
1622894458916,0.366313,5.354632,7.795521
1622894458926,0.325611,5.325902,7.603985
1622894458936,0.126893,5.252879,7.721301
1622894458945,0.233435,5.382165,8.109161
1622894458955,0.179565,5.390545,8.483853
1622894458964,-0.059855,5.363012,8.692149
1622894458973,-0.201113,5.495890,8.726865
1622894458983,-0.430956,5.650316,8.494628
1622894458992,-0.585382,5.777209,7.936779
1622894459002,-0.714669,5.814319,7.481880
1622894459011,-0.445322,5.925649,7.363368
1622894459020,-0.542287,5.731719,7.229292
1622894459030,-0.401029,5.535394,7.395689
1622894459039,-0.239420,5.336676,7.760805
1622894459049,-0.238223,5.193024,7.973889
