timestamp,X,Y,Z
1622900939627,0.422577,7.071275,6.956353
1622900939637,0.389058,7.061698,6.846220
1622900939647,0.380678,7.054515,6.789956
1622900939657,0.426168,7.034164,6.742072
1622900939666,0.454898,7.032968,6.594829
1622900939676,0.421380,7.060501,6.508637
1622900939685,0.384269,7.108385,6.484695
1622900939695,0.298078,7.143101,6.602011
1622900939705,0.304064,7.105990,6.781576
1622900939714,0.325611,7.068881,6.907272
1622900939724,0.390255,7.037756,6.986280
1622900939733,0.417788,7.037756,6.982689
1622900939743,0.435745,7.035362,6.888118
1622900939753,0.482432,7.001843,6.837840
1622900939763,0.582988,6.952762,6.845023
1622900939773,0.656011,6.912060,6.874950
1622900939782,0.642843,6.903681,6.940791
1622900939791,0.535104,6.961142,6.904878
1622900939801,0.368707,7.030573,6.797139
1622900939810,0.330400,7.100005,6.757634
1622900939819,0.408211,7.047333,6.775591
1622900939828,0.568623,6.958747,6.810307
1622900939838,0.682347,6.880936,6.874950
1622900939848,0.713472,6.848614,6.979098
1622900939857,0.647632,6.865374,7.072472
1622900939866,0.532710,6.884527,7.104794
1622900939876,0.481235,6.927623,7.102399
1622900939886,0.509965,6.944382,7.156269
1622900939896,0.545878,6.944382,7.140707
1622900939905,0.573411,6.906075,7.116765
1622900939914,0.530316,6.913258,7.120356
1622900939923,0.440533,6.987478,7.117962
1622900939933,0.395043,7.004237,7.067683
1622900939943,0.389058,6.961142,7.034164
1622900939953,0.596156,6.920440,6.804321
1622900939963,0.618901,6.901287,6.761226
1622900939972,0.586579,6.953959,6.779182
1622900939981,0.501585,6.999449,6.786365
1622900939991,0.445322,7.019799,6.809110
1622900940001,0.507571,6.968324,6.809110
1622900940011,0.586579,6.918046,6.780379
1622900940020,0.664391,6.890512,6.774394
1622900940030,0.701501,6.872556,6.771999
1622900940040,0.653617,6.879739,6.714539
1622900940050,0.597353,6.933608,6.606800
1622900940060,0.597353,6.938396,6.538565
1622900940070,0.530316,6.983886,6.569689
1622900940079,0.436942,7.024588,6.542156
1622900940089,0.135272,7.200562,6.576872
1622900940099,0.395043,7.123947,6.720524
1622900940109,0.694318,6.916849,6.773197
1622900940118,0.820014,6.865374,6.818686
1622900940127,0.767342,6.876147,6.878541
1622900940136,0.666785,6.931214,6.918046
1622900940146,0.635661,6.919243,6.897695
